origin,shape,carat_weight,color,clarity,cut,price
NATURAL,round,0.31,I,I1,Excellent,373
NATURAL,round,0.25,J,SI2,Excellent,386
NATURAL,round,0.18,H,VVS2,Excellent,401
NATURAL,emerald,0.30,H,VVS2,Excellent,411
NATURAL,round,0.30,J,VVS1,Very_Good,368
NATURAL,round,0.23,K,VS1,Excellent,354
NATURAL,round,0.30,K,SI2,Very_Good,364
NATURAL,round,0.23,I,VVS1,Excellent,391
NATURAL,round,0.26,J,SI1,Excellent,373
NATURAL,round,0.20,D,SI1,Excellent,410
NATURAL,round,0.26,J,SI1,Very_Good,340
NATURAL,pear,0.30,F,SI1,Excellent,371
